Date,FC,Reference ID,Fee Type,Notes,Store Order ID,GST Rate,Amount,GST,Total (incl. GST)
01/05/26 03:39:37,Twin Lakes (WI),334342575,Shipping,CR000468476756,516971,0%,$ 5.92,$ 0,$ 5.92
01/05/26 03:40:30,Twin Lakes (WI),334309460,Shipping,9200190244541407199405,516909,0%,$ 5.99,$ 0,$ 5.99
01/05/26 03:41:21,Twin Lakes (WI),334534709,Shipping,4162953513,517174,0%,$ 3.95,$ 0,$ 3.95
01/05/26 03:42:21,Twin Lakes (WI),334347315,Shipping,CR000468477514,516977,0%,$ 5.97,$ 0,$ 5.97
01/05/26 03:43:17,Twin Lakes (WI),334296112,Shipping,BTPA02760IWWGB3,516887,0%,$ 6.01,$ 0,$ 6.01
01/05/26 03:43:19,Twin Lakes (WI),334532471,Shipping,7196070383,517171,0%,$ 3.95,$ 0,$ 3.95
01/05/26 03:44:12,Twin Lakes (WI),334296530,Shipping,CR000468475730,516889,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:45:03,Twin Lakes (WI),334515350,Shipping,TBA327605145834,517155,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:45:19,Twin Lakes (WI),334317722,Shipping,CR000468479809,516913,0%,$ 6.41,$ 0,$ 6.41
01/05/26 03:45:35,Twin Lakes (WI),334305442,Shipping,74a926e754b38cd9e,516904,0%,$ 5.86,$ 0,$ 5.86
01/05/26 03:45:52,Twin Lakes (WI),334409897,Shipping,CR000468479987,517078,0%,$ 6.12,$ 0,$ 6.12
01/05/26 03:46:08,Twin Lakes (WI),334325017,Shipping,D10017038832168,516941,0%,$ 6.13,$ 0,$ 6.13
01/05/26 03:46:12,Twin Lakes (WI),334399271,Shipping,CR000468479188,517060,0%,$ 5.9,$ 0,$ 5.9
01/05/26 03:46:29,Twin Lakes (WI),334410880,Shipping,CR000468478032,517081,0%,$ 6.22,$ 0,$ 6.22
01/05/26 03:46:45,Twin Lakes (WI),334400089,Shipping,BTPA02760Z5OB33,517063,0%,$ 6.01,$ 0,$ 6.01
01/05/26 03:46:58,Twin Lakes (WI),334331042,Shipping,9200190244541407200590,516947,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:47:14,Twin Lakes (WI),334416391,Shipping,9200190244541407200798,517088,0%,$ 5.86,$ 0,$ 5.86
01/05/26 03:47:39,Twin Lakes (WI),334358902,Shipping,9261290318421409731549,517004,0%,$ 6.21,$ 0,$ 6.21
01/05/26 03:48:30,Twin Lakes (WI),334359927,Shipping,CR000468801596,517006,0%,$ 6.07,$ 0,$ 6.07
